Source,Target,Weight
CLINT,LILA BARTON,2
CLINT,MARVEL FLIP,1
LILA BARTON,MARVEL FLIP,1
NEBULA,TONY,2
PEPPER POTTS,STEVE,2
PEPPER POTTS,TONY,4
STEVE,TONY,18
CAPTAIN MARVEL,NATASHA,4
CAPTAIN MARVEL,RHODEY,5
CAPTAIN MARVEL,STEVE,5
CAPTAIN MARVEL,TONY,2
NATASHA,RHODEY,7
NATASHA,STEVE,13
NATASHA,TONY,6
RHODEY,STEVE,9
RHODEY,TONY,3
BANNER,CAPTAIN MARVEL,2
BANNER,NATASHA,7
BANNER,NEBULA,4
BANNER,RHODEY,7
BANNER,ROCKET,9
BANNER,STEVE,14
BANNER,THOR,8
CAPTAIN MARVEL,NEBULA,3
CAPTAIN MARVEL,ROCKET,3
CAPTAIN MARVEL,THOR,2
NATASHA,NEBULA,5
NATASHA,ROCKET,4
NATASHA,THOR,3
NEBULA,RHODEY,7
NEBULA,ROCKET,4
NEBULA,STEVE,4
NEBULA,THOR,4
RHODEY,ROCKET,4
RHODEY,THOR,4
ROCKET,STEVE,5
ROCKET,THOR,8
STEVE,THOR,8
BANNER,THANOS,2
CAPTAIN MARVEL,THANOS,2
NATASHA,THANOS,1
NEBULA,THANOS,2
RHODEY,THANOS,1
ROCKET,THANOS,2
STEVE,THANOS,4
THANOS,THOR,2
GRIEVING MAN,JIMMY,1
GRIEVING MAN,OLDER MAN,1
GRIEVING MAN,STEVE,1
JIMMY,OLDER MAN,1
JIMMY,STEVE,1
OLDER MAN,STEVE,1
CASSIE LANG,SCOTT,1
NATASHA,SCOTT,7
SCOTT,STEVE,10
MORGAN STARK,TONY,4
MORGAN STARK,NATASHA,1
MORGAN STARK,SCOTT,1
MORGAN STARK,STEVE,1
SCOTT,TONY,9
BANNER,KID,1
BANNER,SCOTT,9
KID,NATASHA,1
KID,SCOTT,1
KID,STEVE,1
FRIDAY,MORGAN STARK,1
FRIDAY,TONY,1
RHODEY,SCOTT,4
ROCKET,SCOTT,3
BANNER,VALKYRIE,2
ROCKET,VALKYRIE,2
BANNER,KORG,1
KORG,ROCKET,1
KORG,THOR,1
AKIHIKO,CLINT,1
AKIHIKO,NATASHA,1
AKIHIKO,RONIN,1
CLINT,NATASHA,8
CLINT,RONIN,1
NATASHA,RONIN,1
ROCKET,TONY,5
BANNER,CLINT,6
CLINT,NEBULA,4
CLINT,RHODEY,3
CLINT,SCOTT,4
NEBULA,SCOTT,3
CLINT,ROCKET,2
CLINT,TONY,6
BANNER,TONY,9
CLINT,STEVE,5
CLINT,THOR,3
SCOTT,THOR,3
THOR,TONY,6
EVERYONE EYES THE TANGLE OF LINES CONNECTING SIX STONES TO,STEVE,1
ANCIENT ONE,ASTRAL BANNER,2
ANCIENT ONE,BANNER,2
ASTRAL BANNER,BANNER,2
FRIGGA,ROCKET,2
FRIGGA,THOR,4
BAD NEBULA,GAMORA,5
BAD NEBULA,THANOS,3
GAMORA,THANOS,4
LOKI,TONY,1
BROCK RUMLOW,SCOTT,1
BROCK RUMLOW,TONY,1
AGENT SITWELL,BROCK RUMLOW,1
AGENT SITWELL,STEVE,1
BROCK RUMLOW,STEVE,1
ALEXANDER PIERCE,SCOTT,1
ALEXANDER PIERCE,TONY,1
EBONY MAW,GAMORA,3
EBONY MAW,THANOS,3
NEBULA,QUILL,3
QUILL,RHODEY,1
BAD NEBULA,EBONY MAW,1
FEMALE SHIELD AGENT,STEVE,1
FEMALE SHIELD AGENT,TONY,1
HOWARD STARK,TONY,3
MALE AGENT,PEGGY CARTER,1
EDWIN JARVIS,HOWARD STARK,1
EDWIN JARVIS,TONY,1
BAD NEBULA,NEBULA,2
CLINT,HOODED FIGURE,1
CLINT,RED SKULL,2
HOODED FIGURE,NATASHA,1
HOODED FIGURE,RED SKULL,1
NATASHA,RED SKULL,2
THANOS,TONY,4
GAMORA,NEBULA,3
BAD NEBULA,CLINT,1
CLINT,GAMORA,2
BANNER,EBONY MAW,1
BANNER,GAMORA,1
BANNER,HOPE VAN DYNE,1
BANNER,PETER,1
BANNER,QUILL,1
BANNER,WONG,1
CLINT,EBONY MAW,1
CLINT,HOPE VAN DYNE,1
CLINT,PETER,1
CLINT,QUILL,1
CLINT,THANOS,1
CLINT,VALKYRIE,1
CLINT,WONG,1
EBONY MAW,HOPE VAN DYNE,1
EBONY MAW,NEBULA,1
EBONY MAW,PETER,1
EBONY MAW,QUILL,1
EBONY MAW,SCOTT,1
EBONY MAW,STEVE,1
EBONY MAW,THOR,1
EBONY MAW,TONY,1
EBONY MAW,VALKYRIE,1
EBONY MAW,WONG,1
GAMORA,HOPE VAN DYNE,1
GAMORA,PETER,1
GAMORA,QUILL,1
GAMORA,SCOTT,1
GAMORA,STEVE,1
GAMORA,THOR,1
GAMORA,TONY,1
GAMORA,VALKYRIE,1
GAMORA,WONG,1
HOPE VAN DYNE,NEBULA,1
HOPE VAN DYNE,PETER,1
HOPE VAN DYNE,QUILL,1
HOPE VAN DYNE,SCOTT,2
HOPE VAN DYNE,STEVE,1
HOPE VAN DYNE,THANOS,1
HOPE VAN DYNE,THOR,1
HOPE VAN DYNE,TONY,1
HOPE VAN DYNE,VALKYRIE,1
HOPE VAN DYNE,WONG,1
NEBULA,PETER,1
NEBULA,VALKYRIE,1
NEBULA,WONG,1
PETER,QUILL,2
PETER,SCOTT,2
PETER,STEVE,2
PETER,THANOS,3
PETER,THOR,1
PETER,TONY,3
PETER,VALKYRIE,1
PETER,WONG,1
QUILL,SCOTT,2
QUILL,STEVE,1
QUILL,THANOS,2
QUILL,THOR,2
QUILL,TONY,2
QUILL,VALKYRIE,1
QUILL,WONG,1
SCOTT,THANOS,2
SCOTT,VALKYRIE,1
SCOTT,WONG,1
STEVE,VALKYRIE,1
STEVE,WONG,1
THANOS,VALKYRIE,1
THANOS,WONG,1
THOR,VALKYRIE,2
THOR,WONG,1
TONY,VALKYRIE,1
TONY,WONG,1
VALKYRIE,WONG,1
CORVUS GLAIVE,GROOT,1
CORVUS GLAIVE,PEPPER POTTS,1
CORVUS GLAIVE,PETER,1
CORVUS GLAIVE,ROCKET,1
CORVUS GLAIVE,SAM WILSON,1
CORVUS GLAIVE,STEVE,1
CORVUS GLAIVE,STRANGE AND WONG CONJURE TWO HUGE RUNE SHIELDS TO SHORE UP,1
CORVUS GLAIVE,THANOS,1
CORVUS GLAIVE,TONY,1
CORVUS GLAIVE,WANDA,1
GROOT,PEPPER POTTS,1
GROOT,PETER,1
GROOT,ROCKET,2
GROOT,SAM WILSON,1
GROOT,STEVE,1
GROOT,STRANGE AND WONG CONJURE TWO HUGE RUNE SHIELDS TO SHORE UP,1
GROOT,THANOS,1
GROOT,TONY,1
GROOT,WANDA,1
PEPPER POTTS,PETER,2
PEPPER POTTS,ROCKET,1
PEPPER POTTS,SAM WILSON,1
PEPPER POTTS,STRANGE AND WONG CONJURE TWO HUGE RUNE SHIELDS TO SHORE UP,1
PEPPER POTTS,THANOS,2
PEPPER POTTS,WANDA,1
PETER,ROCKET,1
PETER,SAM WILSON,1
PETER,STRANGE AND WONG CONJURE TWO HUGE RUNE SHIELDS TO SHORE UP,1
PETER,WANDA,1
ROCKET,SAM WILSON,1
ROCKET,STRANGE AND WONG CONJURE TWO HUGE RUNE SHIELDS TO SHORE UP,1
ROCKET,WANDA,1
SAM WILSON,STEVE,2
SAM WILSON,STRANGE AND WONG CONJURE TWO HUGE RUNE SHIELDS TO SHORE UP,1
SAM WILSON,THANOS,1
SAM WILSON,TONY,1
SAM WILSON,WANDA,1
STEVE,STRANGE AND WONG CONJURE TWO HUGE RUNE SHIELDS TO SHORE UP,1
STEVE,WANDA,1
STRANGE AND WONG CONJURE TWO HUGE RUNE SHIELDS TO SHORE UP,THANOS,1
STRANGE AND WONG CONJURE TWO HUGE RUNE SHIELDS TO SHORE UP,TONY,1
STRANGE AND WONG CONJURE TWO HUGE RUNE SHIELDS TO SHORE UP,WANDA,1
THANOS,WANDA,1
TONY,WANDA,1
CAPTAIN MARVEL,OKOYE,1
CAPTAIN MARVEL,PEPPER POTTS,1
CAPTAIN MARVEL,PETER,1
CAPTAIN MARVEL,QUILL,1
CAPTAIN MARVEL,SCOTT,1
CAPTAIN MARVEL,THANOS PULLS THE POWER STONE FROM ITS HOUSING AND PUNCHES,1
OKOYE,PEPPER POTTS,1
OKOYE,PETER,1
OKOYE,QUILL,1
OKOYE,SCOTT,1
OKOYE,THANOS,1
OKOYE,THANOS PULLS THE POWER STONE FROM ITS HOUSING AND PUNCHES,1
OKOYE,TONY,1
PEPPER POTTS,QUILL,1
PEPPER POTTS,SCOTT,1
PEPPER POTTS,THANOS PULLS THE POWER STONE FROM ITS HOUSING AND PUNCHES,1
PETER,THANOS PULLS THE POWER STONE FROM ITS HOUSING AND PUNCHES,1
QUILL,THANOS PULLS THE POWER STONE FROM ITS HOUSING AND PUNCHES,1
SCOTT,THANOS PULLS THE POWER STONE FROM ITS HOUSING AND PUNCHES,1
THANOS,THANOS PULLS THE POWER STONE FROM ITS HOUSING AND PUNCHES,1
THANOS PULLS THE POWER STONE FROM ITS HOUSING AND PUNCHES,TONY,1
CLINT,WANDA,1
HAPPY HOGAN,MORGAN STARK,1
DRAX,GROOT,1
DRAX,MANTIS,1
DRAX,NEBULA,1
DRAX,QUILL,1
DRAX,ROCKET,1
DRAX,THOR,1
GROOT,MANTIS,1
GROOT,NEBULA,1
GROOT,QUILL,1
GROOT,THOR,1
MANTIS,NEBULA,1
MANTIS,QUILL,1
MANTIS,ROCKET,1
MANTIS,THOR,1
QUILL,ROCKET,1
BANNER,BUCKY BARNES,1
BANNER,OLD STEVE,1
BANNER,SAM WILSON,1
BUCKY BARNES,OLD STEVE,1
BUCKY BARNES,SAM WILSON,1
BUCKY BARNES,STEVE,1
OLD STEVE,SAM WILSON,1
OLD STEVE,STEVE,1
